order_date,year,month,day,quarter
2026-01-01,2026,1,1,1
2026-01-02,2026,1,2,1
2026-01-03,2026,1,3,1
2026-01-04,2026,1,4,1
2026-01-05,2026,1,5,1
2026-01-06,2026,1,6,1
2026-01-07,2026,1,7,1
2026-01-08,2026,1,8,1
2026-01-09,2026,1,9,1
2026-01-10,2026,1,10,1
2026-01-11,2026,1,11,1
2026-01-12,2026,1,12,1
2026-01-13,2026,1,13,1
2026-01-14,2026,1,14,1
2026-01-15,2026,1,15,1
2026-01-16,2026,1,16,1
2026-01-17,2026,1,17,1
2026-01-18,2026,1,18,1
2026-01-19,2026,1,19,1
2026-01-20,2026,1,20,1
2026-01-21,2026,1,21,1
2026-01-22,2026,1,22,1
2026-01-23,2026,1,23,1
2026-01-24,2026,1,24,1
2026-01-25,2026,1,25,1
2026-01-26,2026,1,26,1
2026-01-27,2026,1,27,1
2026-01-28,2026,1,28,1
2026-01-29,2026,1,29,1
2026-01-30,2026,1,30,1
2026-01-31,2026,1,31,1
2026-02-01,2026,2,1,1
2026-02-02,2026,2,2,1
2026-02-03,2026,2,3,1
2026-02-04,2026,2,4,1
2026-02-05,2026,2,5,1
2026-02-06,2026,2,6,1
2026-02-07,2026,2,7,1
2026-02-08,2026,2,8,1
2026-02-09,2026,2,9,1
2026-02-10,2026,2,10,1
2026-02-11,2026,2,11,1
2026-02-12,2026,2,12,1
2026-02-13,2026,2,13,1
2026-02-14,2026,2,14,1
2026-02-15,2026,2,15,1
2026-02-16,2026,2,16,1
2026-02-17,2026,2,17,1
2026-02-18,2026,2,18,1
2026-02-19,2026,2,19,1
2026-02-20,2026,2,20,1
2026-02-21,2026,2,21,1
2026-02-22,2026,2,22,1
2026-02-23,2026,2,23,1
2026-02-24,2026,2,24,1
2026-02-25,2026,2,25,1
2026-02-26,2026,2,26,1
2026-02-27,2026,2,27,1
2026-02-28,2026,2,28,1
2026-03-01,2026,3,1,1
2026-03-02,2026,3,2,1
2026-03-03,2026,3,3,1
2026-03-04,2026,3,4,1
2026-03-05,2026,3,5,1
2026-03-06,2026,3,6,1
2026-03-07,2026,3,7,1
2026-03-08,2026,3,8,1
2026-03-09,2026,3,9,1
2026-03-10,2026,3,10,1
2026-03-11,2026,3,11,1
2026-03-12,2026,3,12,1
2026-03-13,2026,3,13,1
2026-03-14,2026,3,14,1
2026-03-15,2026,3,15,1
2026-03-16,2026,3,16,1
2026-03-17,2026,3,17,1
2026-03-18,2026,3,18,1
2026-03-19,2026,3,19,1
2026-03-20,2026,3,20,1
2026-03-21,2026,3,21,1
2026-03-22,2026,3,22,1
2026-03-23,2026,3,23,1
2026-03-24,2026,3,24,1
2026-03-25,2026,3,25,1
2026-03-26,2026,3,26,1
2026-03-27,2026,3,27,1
2026-03-28,2026,3,28,1
2026-03-29,2026,3,29,1
2026-03-30,2026,3,30,1
2026-03-31,2026,3,31,1
